lines,chars,aa
13,38,"        .n.                     |     
       /___\          _.---.  \ _ /   
       [|||]         (_._ ) )--;_) =- 
       [___]           '---'.__,' \   
       }-=-{                    |     
       |-"" |                          
       |.-""|                p         
~^=~^~-|_.-|~^-~^~ ~^~ -^~^~|\ ~^-~^~-
^   .=.| _.|__  ^       ~  /| \       
 ~ /:. \"" _|_/\    ~      /_|__\  ^   
.-/::.  |   |""""|-._    ^   ~~~~       
  `===-'-----'""""`  '-.              ~ 
                 __.-'      ^
        "
22,17,"       /\        
       ||        
      ====       
      |  |       
      |  |       
      ====       
      XXXX       
      |\/|       
      |/\|       
      |\/|       
      |/\|       
      |\/|       
      |/\|       
     /____\      
     |    |      
     |    |      
    /      \     
   /        \    
  /          \   
 /            \  
/              \ 
----------------
"
15,27,"    .  .-+  ._/V\          
   / \/   \/    /__        
  )                ""-+._   
 .""                      \ 
(       B R A S I L       )
 \                      /  
   \__                 (   
      >_               )   
        \_.           /    
           < S.Paulo /     
            \   *  _/      
             >    º        
            /    /         
           <    /          
            ""^./
          "
17,31,"      \                        
       \                       
       \\  <---- Auckland      
        \\                     
         )`--')                
        <  o /                 
         `\  /                 
          / /                  
     /_,, ~~  <--- Wellington  
    /   )                      
    |  /                       
   /  _> <---- Christchurch    
  /  /                         
 /   |                         
|    /                         
\___/                          
  o
                           "
12,32,"              /\                
             /\/\               
            _|/\|_              
           |______|             
            |\/\/|              
           \|/\/\|   .''`/:     
   :\''.    \`'. |  ||  /  :    
   : \ ||   |\ |||  || /    o   
   j _\||__/__\||_\_||/___      
     |___________________|      
      |  |   |   |   |  |       
~~~~~~|~~|~~~|~~~|~~~|~~|~~~~~~
"
16,21,"(IIIIIIIIIIIIIIIIIII)
)'.'.'.':;:;:'.'.'.'(
('.'.'.;' | `:.'.'.')
)'.'.';'  |  `:'.'.'(
('.'.;'   |   `:.'.')
)'.';'____|____`:'.'(
(==@'     |     `@==)
)'.:     @()     :.'(
('.'.   ()@()   .'.')
)'.'.  ()@()@)  .'.'(
('.'.   _\|/_   .'.')
)'.'.  |-----|  .'.'(
('.'.___\___/___.'.')
)'.'============='.'(
('.'             '.')
 ~                 ~
"
31,37,"                 __                  
               .'/\'.                
             .'-/__\-'.              
           .'--/____\--'.            
         .'--./______\.--'.          
       .'--../________\..--'.        
     .'--.._/__________\_..--'.      
   .'--..__/____________\__..--'.    
 .'--..___/______________\___..--'.  
'========'================'========' 
      [_|__]            [_|__]       
     =[__|_]=====""""=====[__|_]==.    
      [_|__]     '|     [_|__]  |    
      [__|_]     |'     [__|_]  |    
      [_|__]  .--JL--.  [_|__]  '===O
      [__|_]   \====/   [__|_]       
      [_|__]_.-| .; |-._[_|__]       
      [__|_]'._ \__/(_.'[__|_]       
      [.-._]            [_.-.]       
      [_.-.'--..____..--'.-._]       
 (o)  [(_.'   .-.     .-.'._)\ (o)   
(\'/) [  .-. (_.'.-. (_.' .-.](\'/)  
   ;: [ (_.'.-. (_.' .-. (_.'| ;:'   
;:    [ .-. '._) .-. '._).-. ]   ;:. 
      [(_.'  .-. '._) .-.'._)]       
  (o) /.-.  (_.'.-.  (_.' .-.];:(o)  
 (\'/)['._).-. (_.'   .-.(_.'] (\'/) 
      [   (_.'.-.  .-.'._)   \ ;:    
;:'   '-._    '._) '._)   _.-'       
  LGB      `---..____..---'   ;:`    
   ;:'      ;:'.:;     ;;""
          "
13,38,"      ##        ##                    
       ##      ##                     
        ##|--|##                      
       | ##  ## |                     
      |___####___|                    
     |~~~~####~~~~|                   
      ===##==##===                    
     |..##....##..|                   
    |..##......##..|                  
   |..##........##..|                 
  |........__........|                
 |........|__|........|   -Dutch Dude-
|_________|__|_________|
             "
15,36,"__          __                      
\\\        ///                      
 \\\  __  ///                       
  \\\/__\///                        
   \\\__///                         
   |\\\///|                         
   |_XXXX_|                         
   \///\\\/                         
   ///__\\\                         
  ///1878\\\                        
 ///______\\\                       
///________\\\                      
~|__________|~                      
 ||_||  ||_||                       
 |___|  |___|     -Volker Hellmich-
"
10,37,"           _.---.(       ..--._)     
       (_.'       `''-.'`      `'.   
        /            /            \_)
     (_|    _,.-'""""'-,-'""""'-.,_   |  
        \  /.--'           '--.\  /_)
      ,__\ ) (_(_(       )_)_) ) /__,
       \  (_, (  o)      (  o) /    /
       `--.-`  '-'   c    '-'  `-'-` 
         (O\                   (O)   
jgs         '-.....__w__.....-'
     "
10,37,"         _(,__           __),        
     (_,d888888888b,d888888888b      
      d888888888888/888888888888b_)  
   (_8888888P'""""'`Y8Y`'""""'""Y88888b   
     Y8888P.-'     `      '-.Y8888b_)
    ,_Y88P (_(_(        )_)_) d88Y_, 
     Y88b,  (o  )      (o  ) d8888P  
     `Y888   '-'        '-'  `88Y`   
     ,d/O\         c         /O\b,   
jgs    \_/'.,______w______,.'\_/
    "
31,34,"      _(,__           __),        
  (_,d888888888b,d888888888b      
   d888888888888/888888888888b_)  
(_8888888P'""""'`Y8Y`'""""'""Y88888b   
  Y8888P.-'     `      '-.Y8888b_)
 ,_Y88P (_(_(        )_)_) d88Y_, 
  Y88b,  (o  )      (o  ) d8888P  
  `Y888   '-'        '-'  `88Y`   
  ,d/O\         c         /O\b,   
    \_/'.,______w______,.'\_/     
       .-`             `-.        
      /   , d88b  d88b_   \       
     /   / 88888bd88888`\  \      
    /   / \ Y88888888Y   \  \     
    \  \   \ 88888888    /  /     
     `\ `.  \d8888888b, /\\/      
       `.//.d8888888888b; |       
         |/d888888888888b/        
         d8888888888888888b       
      ,_d88p""""q88888p""""q888b,     
      `""""'`\    ""`|    /`'""""`     
            `.    |===/           
              >   |   |           
              /   |   |           
             |    |   |           
             |    Y  /            
             \   /  /             
       jgs    | /| /              
             / / / |              
            /=/  |=/              
           `""`   `""`
             "
31,32,"      _.---.(       ..--._)     
  (_.'       `''-.'`      `'.   
   /            /            \_)
(_|    _,.-'""""'-,-'""""'-.,_   |  
   \  /.--'           '--.\  /_)
 ,__\ ) (_(_(       )_)_) ) /__,
  \  (_, (  o)      (  o) /    /
  `--.-`  '-'   c    '-'  `-'-` 
    (O\                   (O)   
       '-.....__w__.....-'      
       .-'             '-.      
      /   , .--.  .--._   \     
     /   / (    \/    )`\  \    
    /   / \ \        /   \  \   
    \  \   \ |      (    /  /   
     `\ `.  \/       \  /\\/    
       `.//.'         '-; |     
         |/             \/      
         /               \      
      ,_/ _,--,_  __,--,_ \_,   
      `--' \    ``|    / '--'   
            `.    |===/         
              >   |   |         
              /   |   |         
             |    |   |         
             |    Y  /          
             \   /  /           
              | /| /            
      jgs    / / / |            
            /=/  |=/            
            `""`  `""`
           "
7,16,"      .-""""""""-.  
     / -   -  \ 
    |  .-. .- | 
    |  \o| |o ( 
    \     ^    \
     '.  )--'  /
jgs    '-...-'`
"
16,19,"     .-""""""""-.      
    / -   -  \     
   |  .-. .- |     
   |  \o| |o (     
   \     ^    \    
   |'.  )--'  /|   
  / / '-. .-'`\ \  
 / /'---` `---'\ \ 
 '.__.       .__.' 
     `|     |`     
      |     \      
      \      '--.  
       '.        `\
         `'---.   |
jgs         ,__) / 
             `..'
 "
17,18,"    .-----.       
   .' -   - '.    
  /  .-. .-.  \   
  |  | | | |  |   
   \ \o/ \o/ /    
  _/    ^    \_   
 | \  '---'  / |  
 / /`--. .--`\ \  
/ /'---` `---'\ \ 
'.__.       .__.' 
    `|     |`     
     |     \      
     \      '--.  
      '.        `\
        `'---.   |
   jgs     ,__) / 
            `..'
 "
15,20,"_       )\          
\`-.___/ _\.        
 \    __( \ \__     
  :  j   \O/   )    
  :  |  ()(__-'     
  ;  `-.-'  /====   
   `-//__.-'\_      
    ///       `-.   
     /          |   
    (           | /|
     \          |/ |
      `-.       U  |
       _I  D   \\rs'
      (         }   
       `--.___.'
   "
16,32,"              .:.               
             .::::.             
..         ..::::::''::         
::::..  .::''''':::    ''.      
':::::::'         '.  ..  '.    
 ::::::'            : '::   :   
  :::::     .        : ':'   :  
  :::::    :::       :.     .'. 
 .::::::    ':'     .' '.:::: : 
 ::::::::.         .    ::::: : 
:::::    '':.... ''      '''' : 
':::: .:'              ...'' :  
 ..::.   '.........:::::'   :   
  '':::.   '::'':'':::'   .'    
        '..  ''.....'  ..'      
           ''........''
        "
14,30,"  \/________________          
 /     _____________)         
/     /     /   \ |           
\/\/\/     (O) (O)|           
  |           ------,         
  |  _       ______/          
  | (_      /   \  \          
  |        /  ___\_ \         
  |        \      / /         
__|_________\______/          
\______________\./__\         
 /     .       | \  |         
 \    /_\   .  |  \ |\        
 |`\       /_\ |   \| \
      "
19,39,"               _____________________   
              /                    /\()
             /                    /  `.
            /                    /  .,'
           /____________________/_.-`  
           (_____________________()    
           || ||                       
           || || _                     
           ||/|/  /|_____      _       
           || /  / /     /|  .//|      
           ||/  / /     / |__// /-.    
         ,'|/_ / /     / /  // /    "". 
       ,'  || | /     / /  // /       ""
     ,-__. || |/     / /  ||/__-.     ""
   ,"" |__`.||_|_____/_/____.'__| ""   ' 
   ""   O_) ________________ (_O   "" '  
   ""   |_.' ""            "" `._|   ""    
akg`.      ,'            `.      ,'    
     `----'                `---
       "
32,38,"          ________                    
        _/~~~~~~~~\_    _             
       /~~~/~~~~~~~~~\_//____         
      /~~/~~~~~~~~~~~~~~~~~~~\        
     /~/~~~~~~_________~~~~~~~\       
    _/~~~~___/         \~~~~~~|       
   /~~~~~/             |~~~/\~|       
   |~~~ /    _    _    |~~/. \|       
   |___/    / \  / \   |~|  !         
     !      (O)  (O)   \~/  !         
     !                      !         
     !                      !         
    /      __      __        \        
   !()   ./          \     ()!        
    \   . \          / .     /        
    !  .   \        /   .   !         
    ! .     \______/    .   !         
    ! .     . ^  ^ .  _  .  !         
    / .    .         /o) .  !         
   ! .              //   .  !_        
  _! .   (=========//    . /_ \       
 /\\ .     \\I#I#I//    __//o\|\__    
/||\\.      \\I#I//    /__/oo||   \_  
 ||o\\_       ===     //ooooo||     \ 
 ||ooo\\_            //oooooo||     I 
 ||ooooo\\_         //ooooooo||     I 
 ||ooooooo\\_      //oooooooo||     I 
 ||ooooooooo\\_   //ooooooooo||     I 
 ||ooooooooooo\\ //oooooooooo||     I 
 ||ooooooooooo|| ||oooooooooo||     I 
 ||ooooooooooo||_||oooooooooo||     I 
 ||oooooooooooo\_//ooooMEPHoo||     I
"
30,29,"           ___               
     _..--""\  `|`""""--.._     
  .-'       \  |        `'-. 
 /           \_|___...----'`\
|__,,..--""""``(_)--..__      |
'\     _.--'`.I._     ''--..'
  `''""`,#JGS/_|_\###,---'`   
    ,#'  _.:`___`:-._ '#,    
   #'  ,~'-;(oIo);-'~, '#    
   #   `~-(  |    )=~`  #    
   #       | |_  |      #    
   #       ; ._. ;      #    
   #  _..-;|\ - /|;-._  #    
   #-'   /_ \\_// _\  '-#    
 /`#    ; /__\-'__\;    #`\  
;  #\.--|  |O  O   |'-./#  ; 
|__#/   \ _;O__O___/   \#__| 
 | #\    [I_[_]__I]    /# |  
 \_(#   /  |O  O   \   #)_/  
       /   |        \        
      /    |         \       
     /    /\          \      
    /     | `\         ;     
   ;      \   '.       |     
    \-._.__\     \_..-'/     
     '.\  \-.._.-/  /'`      
        \_.\    /._/         
         \_.;  ;._/          
       .-'-./  \.-'-.        
      (___.'    '.___)
      "
32,29,"           ___               
     _..--""\  `|`""""--.._     
  .-'       \  |        `'-. 
 /           \_|___...----'`\
|__,,..--""""``(_)--..__      |
'\     _.--'`.I._     ''--..'
  `''""`,#JGS/_|_\###,.--'`   
    ,#'  _.:`___`:-._'#,     
   #'  ,~'-;(oIo);-'~, '#    
   #   `~-(  |    )=~`  #    
   #       | |_  |      #    
   #       ; ._. ;      #    
   #  _..-;|\ - /|;-._  #    
   #-'   /_ \\_// _\  '-#    
 /`#    ; /__\-'__\;    #`\  
;  #\.--|  |O  O   |'-./#  ; 
|__#/   \ _;O__O___/   \#__| 
 | #\    [I_[_]__I]    /# |  
 \_(#   ;  |O  O   ;   #)_/  
        |  |       |         
        |  ;       |         
        |  |       |         
        ;  |       |         
        |  |       |         
        |  |       ;         
        |  |       |         
        '-.;____..-'         
          |  ||  |           
          |__||__|           
          [__][__]           
        .-'-.||.-'-.         
       (___.'  '.___)
       "
15,25,"    o        _           
    =\.=    | \          
    ='\____/__/....,_    
       | .'        _-;   
       |/;-._     -_,'   
       /  \  ``""""""` (    
       |   |  ^   ^ \    
       /`'`   o  _ o \   
       \_,      ' '  |   
         ;.   /.__.' /   
       .`._`'._____.'-.  
      /`.| `-,.____.-;\  
     /   |  |      | \ \ 
jgs  |   |  '------' | | 
     \   \           | /
"
15,29,"         .-""""',.-""""""-.       
   ,_  .'.--. /_.---. `-.__.,
   '\`'-'  _ /___    `-._.-/ 
     '-..-'_'` _ `'-._  _.;  
     .'   /_   _      \`  \  
    /    /(_9 (_9  .   |   \ 
    ;  _/   (      \`-'    / 
     `(_\  .===,    '.___.'  
         '. `""""`     _(_)    
           '-.   .-'`        
    .=====""""""|   |""""======,  
    '.       |   |      .'   
jgs   `-.    |_.-'   .-'     
         `-. `   _.-'        
            '-.-'
           "
18,18,"    _             
   /|\    .--,    
  | |/__.'/`/     
  | .-~-(--'      
  | .-~~-\        
  ;       \       
  |   .-. .\      
  |   | | |`\     
  |  _\o|_|o|\    
  | / __--,="""""",  
  | | ||  '=,_,'\ 
  ; | ||    /\  | 
   \; \ \_.' |\/  
    \\ \._ \ ;-,  
jgs  \\ \_:-' /_  
    ((\\_____/_)) 
     }'======'{`  
    /`""""""""""""""""""`\
"
23,29,"   _...._                    
 .'      '.                  
/     __   \                 
|   .'  \  /                 
 \  |   /.'                  
  \ |                        
   '.\ _                     
   \_><_\                    
     | `-._   _...__         
     |    -""``      ``""-,    
     |,               _. )   
     /      /``""'---""`|-'    
    /      |   .-'  '-;      
   |       \   6_)  6_)\     
   \        '.      )   \    
    '.    ,---'  _.--.` /    
      '-.._\-     `""""`.'     
           `'-.   .--'       
    .=========|   |=========,
    '.        |   |       .' 
jgs   `-._    `-._|    .-'   
          `-._    `_.-'      
              '-.-'
         "
24,24,"        .-.             
          _\...._       
      .-""`       `""-.   
    |` ._         _. `| 
    |  \ `""""""""""""""` /  | 
    \  |           |  / 
    ;  |  /     \  |  ; 
    |  |  _     _  |  | 
    |  | / |   | \ |  | 
    _\/  \0|   |0/  \/_ 
   / \    .-----.    / \
   |  /_.-\     /-._\  |
    \|/    '--;'    \|/ 
      |  /     \    |   
      |  `\'.___\   |   
      ;    \   |    ;   
       \    \'-\   /    
        \    '--' /     
         \       /      
jgs   ____\_   _/____   
     '._    \ /    _.'  
        '-,  ^  ,-'     
         /  ___  \      
        /   ---   \
    "
7,11,"     \/    
   /^ ^\   
   \0 0/   
   ('V')   
    \ /    
snd/(_)\   
 ==/\=/\==
"
9,17,"       ,,,,      
        ))))     
       .-"""";___  
      / _.""`   `;
     | (_.--""""-./
     \  | (.)(.)\
jgs   ) \      //
     [   `]'-'\`]
      `""""`     `
"
9,14,"     .-""-.    
    /_ _  \   
    \@ @  /   
    (_> _)    
      `)(_    
      /((_`)_,
      \__(/-"" 
     __|||__  
jgs ((__|__))
"
9,14,"     .-""-,    
    /_ _  \   
    \@ @  /   
    (_= _)    
      `)(_    
      /((_`)_,
      \__(/-"" 
     __|||__  
jgs ((__|__))
"
9,15,"        .-""-.  
       /  - -\ 
       \  @ @/ 
        (_ <_) 
        _)(`   
    ,_(`_))\   
     ""-\)__/   
      __|||__  
jgs  ((__|__))
"
12,29,"               / ,           
          /\  \|/  /\        
          |\\_;=._//|        
           \.""   ""./         
           //^\ /^\\         
    .'``"",/ |0| |0| \,""``'.  
   /   ,  `'\.---./'`  ,   \ 
  /`  /`\,.""(     )"".,/`\  `\
  /`     ( '.'-.-'.' )     `\
  /""`     ""._  :  _.""     `""\
   `/.'`""=.,_``=``_,.=""`'.\` 
jgs          )   (
          "
13,31,"       ___                     
      /]_/                     
     |\/|.--/'-.               
     \|/:o /  /\    ._,        
        \_/_.'0/    _|_        
         \____]] (>[___]=]]]===
         /    \___/P{]         
      __//    /----\/          
     (_[-'\__/_                
         / | | \               
        '=='='=='              
       ____||||___             
snd   (_""""_/ \_""""_)
           "
13,19,"        ___        
    .-``   ``-.    
  .'           '.  
 /               \ 
|      __ __      |
'      /\_/\      '
 \  ___\O_O/___  / 
  \/    ___    \/  
  (    (___)    )  
   \   /\_/\   /   
    \  |._.|  /    
     \ |   | /     
   dwb\/   \/
     "
17,32,"           ||||||||||||,,       
           |WWWWWWWWW|W|||,     
           |_________|~WWW||,   
            ~-_      ~_  ~WW||, 
            __-~---__/ ~_  ~WW|,
        _-~~         ~~-_~_  ~W 
  _--~~~~~~~~~~___       ~-~_/  
 -                ~~~--_   ~_   
|                       ~_   |  
|   ____-------___        -_  | 
|-~~              ~~--_     - | 
 ~| ~--___________     |-_   ~_ 
   | \`~'/  \`~'_-~~  |  |~-_-  
  _-~_~~~    ~~~   _-~  |  |    
 ---.--__         ---.-~  |     
 | |    -~~-----~~| |    -      
 |_|__-~          |_|__-~
      "
21,28,"                /|         ,
              ,///        /|
             // //     ,/// 
            // //     // // 
           // //     || ||  
           || ||    // //   
           || ||   // //    
           || ||  // //     
           || || || ||      
           \\,\|,|\_//      
            \\)\)\\|/       
            )-."""" .-(       
           //^\` `/^\\      
          //  |   |  \\     
        ,/_| 0| _ | 0|_\,   
      /`    `""=.v.=""`    `\ 
     /`    _.""{_,_}""._    `\
jgs  `/`  ` \  |||  / `  `\`
      `"",_  \\=^~^=//  _,""` 
          ""=,\'-=-'/,=""     
              '---'
        "
22,27,"      ....                 
    .'   ,:                
  .'      \.___..          
.'      .-'   _.'          
'.\  \/...-''`\            
  :.'   /   \  :           
   :    () () /            
   (_ .  '--' ':        .':
     / |_'-- .'       .'.' 
     \   \  .'_\    .'.'   
    .|__  \/_/:   .'.'     
   /          :\.',;'      
  .' -./      .'{\|))      
  '.   ',_,-.',;'--:       
  / '../_   \,;'_.'        
  :.   ,''-'-'  \          
   \'.'   / \..':          
   .'    /.-.   :          
   '.   / \  |''\          
     './--:  /   \._       
snd   \.   '.'._.___:      
        '...'
             "
23,35,"          ___                      
      _.-'   ```'--.._             
    .'                `-._         
   /                      `.       
  /                         `.     
 /                            `.   
:       (                       \  
|    (   \_                  )   `.
|     \__/ '.               /  )  ;
|   (___:    \            _/__/   ;
:       | _  ;          .'   |__) :
 :      |` \ |         /     /   / 
  \     |_  ;|        /`\   /   /  
   \    ; ) :|       ;_  ; /   /   
    \_  .-''-.       | ) :/   /    
   .-         `      .--.'   /     
  :         _.----._     `  <      
  :       -'........'-       `.    
   `.        `''''`           ;    
     `'-.__                  ,'    
           ``--.   :'-------'      
           jgs :   :               
              .'   '.
             "
32,38,"                       .   `:         
                        :   :  .      
                     __.'_ .'   :     
                _.--'     `-._.'      
             .-'..     ..    `.       
            : .-.    .--.`.    :      
           : :  :   :   :       :     
           : :`;;   :`; ;       :     
           `.`O;'   `O;.'       :     
          .' .---.  .--.        ;     
  .      :  '._   :'           ;      
  ::     :   .-`-.;       .  .'       
 .':     `.   ``` `.      :-'         
:  :       `-.__   ._   _.'           
 : ;           :    ;```              
  : `.    _.-.' .  ``-._              
   :  `.-'   : :        `-.           
    :      _.: `  `-._     `,         
     `._.-'   ;     `.`-.   ;_,  _.,  
              :       `.:  ;' ;-'  ;  
             :         ``.___.'   :   
             :             ;_..--'    
             `.            ;          
               `-.__   ...'           
                   : :  :             
              jgs  :-:__;             
                   : :  :             
        .-~~~--..__: :  :___..---..   
      .'.'           :             `, 
     :,'             :            `; ;
     `:           _.'`._           :,'
       `~~~'----''     `'-.____....'
 "
9,20,"         .-""""""-.    
        /       \   
        \       /   
 .-""""""-.-`.-.-.<  _ 
/      _,-\ ()()_/:)
\     / ,  `     `| 
 '-..-| \-.,___,  / 
       \ `-.__/  /  
  jgs   `-.__.-'`
  "
10,22,"  .-""-.         .-""-. 
 /     \ _____ /     \
 \      `     `      /
  `--/,'^^'.'^^',\--` 
    || /^\   /^\ |\   
    |\ |0| _ |0| /|   
    \_\`~`.-.`~`/_/   
    /     '-'     \   
    \  `-,...,-`  /   
jgs  '-._ \^/ _.-'
   "
21,29,"            .-""""""-.          
           /       \         
           \       /         
    .-""""""-.-`.-.-.<  _       
   /      _,-\ ()()_/:)      
   \     / ,  `     `|       
    '-..-| \-.,___,  /       
          \ `-.__/  /        
     jgs / `-.__.-\`         
        / /|    ___\         
       ( ( |.-""`   `'\       
        \ \/    {}{}  |      
         \|           /      
          \        , /       
          ( __`;-;'__`)      
          `//'`   `||`       
         _//       ||        
 .-""-._,(__)     .(__).-""""-. 
/          \    /           \
\          /    \           /
 `'-------`      `--------'`
"
7,34,"      _                           
   ,'"" ""`.  ,--  Trooper Mushroom 
 _/_______\_                      
'-.( . . ).-'                     
    \(_)/                         
     )-(                          
     """"""
                         "
8,37," ,---.    ,-- Farroe Mufkatar Mushrom
|     |                              
|     |                              
\,(O)./                              
(-o-o-)                              
 \(_)/                               
  ) (                                
  """"""
                               "
10,32,"     _                          
    / \                         
   / * \   ,-- Merlin Mushroom  
  / * * \      Mushy Magic 'r us
 / * * * \                      
/ *__*__* \                     
`-(-o^o-)-'                     
   \(_)/                        
    ) (                         
    """"""
                        "
14,12,"    ,-`-.   
  ,' .___;  
 /_ ,'@@,-. 
 (C`____ -' 
  \ `--' ;  
   ``:`:'   
  .-`  '--. 
 ( /7   \7 )
  \\i--._|/ 
 (,-,)   |  
 ,--:_.  /  
(  ..__,/   
 `-' ;  ``. 
 dwb `---`
 "
18,29,"           _  .   .   .      
         .' '; '-' '-'|-.    
        (     '------.'  )   
         ;            \ /    
          :     '   ' |/     
          '._._       \    .;
         .-'   ;--.    '--' /
        /      \-'---.___.'  
       |     / 7 \(>o<) /\   
       |     | \ |  . \   \  
       |=====|   |  .  \ |-) 
        |-'-'   ./_.-._.\|""  
        '-.----'        |    
          |       |     |    
          |     | |   | |    
          |_____|_|___|_|    
snd       (-------',----'.   
           '-'-----'-----'
  "
11,23,"  .--.            .--. 
 ( (`\\.""--``--"".//`) )
  '-.   __   __    .-' 
   /   /__\ /__\   \   
  |    \ 0/ \ 0/    |  
  \     `/   \`     /  
   `-.  /-""""""-\  .-`   
     /  '.___.'  \     
     \     I     /     
      `;--'`'--;`      
jgs     '.___.'
       "
25,21,"  (O_/ __ \_O)       
  / (o)__(o) \       
 (__.--\/--.__)      
====(__/\__)====     
      `--'           
      _||_           
    /'....'\         
   | :    : |        
   ||:    :||        
   ||:    :||        
   ||:    :||       
   ||:    :||        
   ||:    :||        
   ||:    :||        
   ||:    :||        
   || `..' ||        
   ( | || | )        
    \| || |/         
     | || |          
     | || |          
     | || |          
     | || |          
     | || |          
 __,-' || '-,__      
(___,--'`--,___) dlK
"
7,19,"          .-'-.    
       __|     `\  
      `-,-`--._  `\
 []  .->'  a   `|-'
  `=/ (__/_     /  
    \_,    `  _)   
jgs   `----; |
    "
7,23,"         .-'-.         
       /`     |__      
     /`  _.--`-,-`     
     '-|`   a '<-.   []
       \     _\__) \=` 
        C_  `    ,_/   
jgs       | ;----'
    "
9,17,"        ____     
      .---. `\   
     /o o  \  |  
    |     .'  /_ 
    c    (   /</ 
     `.~_ `-'    
       __\ \___  
jgs  /(( `  ` ))\
       `======`
 "
9,19,"         ____      
       /` .---.    
      |  /  o o\   
     _\  '.     |_ 
     \>\   )    .-'
        '-` _~.'   
       ___/ /__    
jgs  /(( '  ' ))\  
    /  `======`  \
"
15,27,"          ____             
          \__/         # ##
         `(  `^=_ p _###_  
          c   /  )  |   /  
   _____- //^---~  _c  3   
 /  ----^\ /^_\   / --,-   
(   |  |  O_| \\_/  ,/     
|   |  | / \|  `-- /       
(((G   |-----|             
      //-----\\            
     //       \\           
   /   |     |  ^|         
   |   |     |   |         
   |____|    |____|        
  /______)   (_____\
      "
16,12," ('.'''.    
  ()/ ..)   
  o'.__.>   
  _ || _  |\
 (_|\/|_)\ /
 //|  |\\// 
(( |()\ \/  
 \\|   \    
_/_| () \   
   |     \  
   \_._._.' 
     \\//   
  mrf ))\   
     // \\  
    (x\_/x) 
    (_(___)
"
16,15," ('.'''.       
  ((/ ..)      
  o'.__.>      
  _ || _  /    
 (_|\/|_)(\/   
 //|  |\\//    
(( |()\ \/     
 \\|   \       
_/_| () \      
   \     \     
   '|'-'-'\    
    ||    \\   
    || mrf ))  
    ||.   //   
    ( \_ | \_  
    (___)(___)
"
32,32,"          .-'-.                 
        /`     |__              
      /`  _.--`-,-`             
      '-|`   a '<-.   []        
        \     _\__) \=`         
         C_  `    ,_/           
           | ;----'             
      _.---| |--._              
    .'  _./' '\._ '.            
   /--'`  `-.-`  `'-\           
  |         o        \          
  |__ .             / )         
 (___)|     o     \/ /          
  | | |           |-'\     .--. 
 /  |_.-""""""-.-'=_ |   '--./ = .`
<   `  =-->    _= /        __/  
 '._     _.-""-.= /`""-...-""`     
    `;""""""`     __/              
      /```````` |               
     |     ,     \              
     \      \     \             
      \      \     \            
jgs   |       \     \           
     /        |      |          
    /         /      |          
   /        /`     /`           
 .'        |       |            
(          /--.___.'            
 `--...__.' /    \__            
 /     \__ |        `)          
|         `)---'----`           
'----'----`
                    "
35,20,"        ____        
      .---. `\      
     /o o  \  |     
    |     .'  /_    
    c    (   /</    
     `.~_ `-'       
       __\ \___     
     /(( `  ` ))\   
    /  `======`  \  
   / /|        |\ \ 
  / / |        | \ \
  \ \ |        | / /
   \ \|        |/ / 
    \/|        |\/  
     \(        )/   
      /`""""""""""""`\    
     ;          ;   
     |          |   
     |          |   
     |          |   
     |          |   
     |          |   
     |          |   
     |          |   
     |__________|   
        | || |      
        | || |      
  jgs   | || |      
       _|_||_|_     
      \   |\  /     
 .----'    /  \     
(         |    |    
 `'----'--|    |    
          \    /    
           '--'
    "
14,21,"     /|_\|/_/|       
    , ,--,-. .       
   / ( O  O ) \      
   |  (___)'  |      
   |.   ,     |      
  /  '-'\__,' |      
 //|.      \\\ \     
 ||| ,     `-'|\\    
 |||        ' |||    
c  D  '    ,  c  D   
 UU '  '-'   ' UU    
     \  __  /        
    __||  ||__       
   (___/  \___) [lf]
"
15,32,"    ____            .    _  .   
   /# /_\_          |\_|/__/|   
  |  |/o\o\        / / \/ \  \  
  |  \\_/_/       /__|O||O|__ \ 
 / |_   |        |/_ \_/\_/ _\ |
|  ||\_ ~|       | | (____) | ||
|  ||| \/        \/\___/\__/  //
|  |||_          (_/         || 
 \//  |           |          || 
  ||  |           |          ||\
  ||_  \           \        //_/
  \_|  o|           \______//   
  /\___/          __ || __||    
 /  ||||__       (____(____)    
    (___)_)
                    "
20,40,"                  ,-------------------. 
                 ( WHAT EEEEES IT MAN? )
                  `-------------------' 
                         '              
                          \    ,-_      
                              ',' )     
     /|_\|/_/|              _// ,'      
    , ,--,-. .           ,'  / ,        
   / ( O _O ) \        _;___    .       
   |  (___)'  |        ()/()/   ,       
   |.   ,     |        ,>     ,'        
  /  '-'\__,' |         |  /',\         
 //|.      \\\ \        '^;  <-^.       
 ||| ,     `-'|\\             )  '      
 |||        ' |||        _n___|/, |     
c  D  '    ,  c  D      -_ ---,'  |     
 UU '  '-'   ' UU         U   <   (     
     \  __  /                ,.-. ._,.  
    __||  ||__              ((   `'- |  
   (___/  \___) [lf]      c___)     U
  "
